ClientKey,ClientVoornamen,ClientTussenvoegsel,ClientAchternaam,GeboorteJaar,ClientGeslacht,NotaRegelBedrag,NotaJaar,NotaKwartaal,NotaMaand,BuurtCode,BuurtNaam
1,Bader,de,Steensma,2007,Meisje,736.04,2018,Qtr 2,September,BU08260300,Dorst
1,Bader,de,Steensma,2007,Meisje,1968.44,2020,Qtr 4,May,BU08261300,Vogelbuurt
1,Bader,de,Steensma,2007,Meisje,879.28,2021,Qtr 3,August,BU08260601,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,1023.72,2020,Qtr 3,January,BU08260300,Vogelbuurt
1,Bader,de,Steensma,2007,Meisje,1863.67,2020,Qtr 1,July,BU08261307,Buitengebied Dorst-Zuid
1,Bader,de,Steensma,2007,Meisje,2034.11,2021,Qtr 4,April,BU08260300,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,497.3,2020,Qtr 2,July,BU08260300,Dorst
1,Bader,de,Steensma,2007,Meisje,2375.63,2019,Qtr 2,January,BU08260300,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,2416.02,2019,Qtr 4,April,BU08260300,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,1176.1,2021,Qtr 4,January,BU08260601,Slotjes-West
1,Bader,de,Steensma,2007,Meisje,35.07,2020,Qtr 3,January,BU08261300,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,2414.11,2021,Qtr 2,March,BU08261300,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,1369.33,2020,Qtr 2,October,BU08260601,Buitengebied Dorst-Zuid
1,Bader,de,Steensma,2007,Meisje,2032.09,2018,Qtr 3,April,BU08260601,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,1441.67,2021,Qtr 2,January,BU08260300,Dorst
1,Bader,de,Steensma,2007,Meisje,495.01,2018,Qtr 4,August,BU08260300,Dorst
1,Bader,de,Steensma,2007,Meisje,241.94,2021,Qtr 2,July,BU08260102,Sterrenbuurt
1,Bader,de,Steensma,2007,Meisje,708.37,2020,Qtr 2,January,BU08261307,Slotjes-West
1,Bader,de,Steensma,2007,Meisje,1152.43,2020,Qtr 3,December,BU08260102,Slotjes-West
1,Bader,de,Steensma,2007,Meisje,1449.31,2018,Qtr 3,March,BU08260300,Dorst
2,Lorena,,Wilgenburg,2007,Meisje,187.05,2019,Qtr 3,September,BU08261307,Buitengebied Dorst-Zuid
2,Lorena,,Wilgenburg,2007,Meisje,1174.13,2021,Qtr 4,November,BU08261307,Slotjes-West
2,Lorena,,Wilgenburg,2007,Meisje,1671.41,2021,Qtr 3,December,BU08260601,Vogelbuurt
2,Lorena,,Wilgenburg,2007,Meisje,1839.74,2019,Qtr 1,March,BU08260102,Buitengebied Dorst-Zuid
2,Lorena,,Wilgenburg,2007,Meisje,24.76,2018,Qtr 3,July,BU08260300,Buitengebied Dorst-Zuid
2,Lorena,,Wilgenburg,2007,Meisje,1657.52,2018,Qtr 4,July,BU08261300,Slotjes-West
2,Lorena,,Wilgenburg,2007,Meisje,524.56,2021,Qtr 4,September,BU08261307,Dorst
2,Lorena,,Wilgenburg,2007,Meisje,837.25,2019,Qtr 2,June,BU08260601,Dorst
2,Lorena,,Wilgenburg,2007,Meisje,1019.05,2021,Qtr 3,November,BU08261307,Vogelbuurt
2,Lorena,,Wilgenburg,2007,Meisje,78.64,2021,Qtr 3,January,BU08260601,Dorst
2,Lorena,,Wilgenburg,2007,Meisje,210.24,2018,Qtr 1,October,BU08261307,Slotjes-West
2,Lorena,,Wilgenburg,2007,Meisje,376.57,2020,Qtr 3,June,BU08260300,Vogelbuurt
2,Lorena,,Wilgenburg,2007,Meisje,1076.87,2018,Qtr 3,October,BU08260601,Sterrenbuurt
2,Lorena,,Wilgenburg,2007,Meisje,1173.23,2021,Qtr 2,February,BU08260102,Sterrenbuurt
2,Lorena,,Wilgenburg,2007,Meisje,160.96,2018,Qtr 4,December,BU08261300,Vogelbuurt
2,Lorena,,Wilgenburg,2007,Meisje,1925.07,2021,Qtr 1,August,BU08260102,Slotjes-West
2,Lorena,,Wilgenburg,2007,Meisje,506.08,2019,Qtr 3,August,BU08260300,Buitengebied Dorst-Zuid
2,Lorena,,Wilgenburg,2007,Meisje,2473.07,2019,Qtr 2,July,BU08260102,Buitengebied Dorst-Zuid
2,Lorena,,Wilgenburg,2007,Meisje,545.82,2018,Qtr 4,February,BU08261307,Vogelbuurt
2,Lorena,,Wilgenburg,2007,Meisje,1788.1,2020,Qtr 2,March,BU08261307,Vogelbuurt
3,Izaak,,Dekker,2008,Jongen,1318.62,2018,Qtr 3,June,BU08261307,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,1813.31,2018,Qtr 2,February,BU08261307,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,673.43,2018,Qtr 2,October,BU08260102,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,1624.71,2019,Qtr 1,April,BU08260300,Dorst
3,Izaak,,Dekker,2008,Jongen,1652.26,2018,Qtr 1,March,BU08260601,Buitengebied Dorst-Zuid
3,Izaak,,Dekker,2008,Jongen,880.38,2020,Qtr 1,July,BU08260102,Vogelbuurt
3,Izaak,,Dekker,2008,Jongen,2335.19,2020,Qtr 2,May,BU08261307,Dorst
3,Izaak,,Dekker,2008,Jongen,977.64,2018,Qtr 3,July,BU08260102,Sterrenbuurt
3,Izaak,,Dekker,2008,Jongen,1470.99,2020,Qtr 3,January,BU08260102,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,166.17,2021,Qtr 1,July,BU08260102,Buitengebied Dorst-Zuid
3,Izaak,,Dekker,2008,Jongen,1286.55,2021,Qtr 1,June,BU08261300,Vogelbuurt
3,Izaak,,Dekker,2008,Jongen,1853.31,2018,Qtr 1,January,BU08260300,Dorst
3,Izaak,,Dekker,2008,Jongen,2166.39,2018,Qtr 2,May,BU08260601,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,575.5,2021,Qtr 1,April,BU08260601,Dorst
3,Izaak,,Dekker,2008,Jongen,767.0,2018,Qtr 3,December,BU08260601,Slotjes-West
3,Izaak,,Dekker,2008,Jongen,1375.82,2021,Qtr 2,March,BU08261300,Buitengebied Dorst-Zuid
3,Izaak,,Dekker,2008,Jongen,2296.08,2018,Qtr 1,March,BU08260300,Buitengebied Dorst-Zuid
3,Izaak,,Dekker,2008,Jongen,1477.01,2018,Qtr 3,August,BU08260102,Dorst
3,Izaak,,Dekker,2008,Jongen,820.33,2021,Qtr 2,June,BU08260300,Sterrenbuurt
3,Izaak,,Dekker,2008,Jongen,480.11,2019,Qtr 4,October,BU08260102,Sterrenbuurt
4,Izaak,,Smit,2007,Jongen,1371.28,2019,Qtr 2,October,BU08260601,Dorst
4,Izaak,,Smit,2007,Jongen,1927.2,2019,Qtr 2,August,BU08260102,Vogelbuurt
4,Izaak,,Smit,2007,Jongen,1872.72,2021,Qtr 3,December,BU08261307,Buitengebied Dorst-Zuid
4,Izaak,,Smit,2007,Jongen,86.2,2021,Qtr 2,March,BU08260102,Dorst
4,Izaak,,Smit,2007,Jongen,832.08,2019,Qtr 4,February,BU08260300,Dorst
4,Izaak,,Smit,2007,Jongen,1866.76,2019,Qtr 4,September,BU08261307,Slotjes-West
4,Izaak,,Smit,2007,Jongen,1020.0,2019,Qtr 2,November,BU08260102,Slotjes-West
4,Izaak,,Smit,2007,Jongen,236.77,2021,Qtr 2,January,BU08260300,Slotjes-West
4,Izaak,,Smit,2007,Jongen,504.35,2018,Qtr 4,August,BU08260601,Dorst
4,Izaak,,Smit,2007,Jongen,1842.76,2018,Qtr 3,April,BU08261300,Dorst
4,Izaak,,Smit,2007,Jongen,400.05,2021,Qtr 1,December,BU08260601,Dorst
4,Izaak,,Smit,2007,Jongen,1033.65,2019,Qtr 2,June,BU08261307,Dorst
4,Izaak,,Smit,2007,Jongen,1106.51,2019,Qtr 3,September,BU08260300,Dorst
4,Izaak,,Smit,2007,Jongen,1246.5,2020,Qtr 4,February,BU08260300,Sterrenbuurt
4,Izaak,,Smit,2007,Jongen,2042.51,2018,Qtr 2,January,BU08261307,Buitengebied Dorst-Zuid
4,Izaak,,Smit,2007,Jongen,411.89,2019,Qtr 1,January,BU08260102,Sterrenbuurt
4,Izaak,,Smit,2007,Jongen,1979.55,2020,Qtr 2,December,BU08260102,Slotjes-West
4,Izaak,,Smit,2007,Jongen,1434.57,2018,Qtr 1,October,BU08261300,Sterrenbuurt
4,Izaak,,Smit,2007,Jongen,2116.86,2019,Qtr 2,May,BU08261300,Vogelbuurt
4,Izaak,,Smit,2007,Jongen,907.68,2020,Qtr 2,April,BU08260601,Vogelbuurt
5,Sem,der,Lake,2006,Jongen,1010.66,2020,Qtr 1,March,BU08260102,Dorst
5,Sem,der,Lake,2006,Jongen,1623.48,2020,Qtr 3,August,BU08261307,Dorst
5,Sem,der,Lake,2006,Jongen,360.73,2021,Qtr 2,January,BU08261300,Dorst
5,Sem,der,Lake,2006,Jongen,2421.23,2021,Qtr 2,October,BU08260601,Slotjes-West
5,Sem,der,Lake,2006,Jongen,285.62,2021,Qtr 3,August,BU08260601,Buitengebied Dorst-Zuid
5,Sem,der,Lake,2006,Jongen,547.46,2020,Qtr 3,June,BU08261300,Buitengebied Dorst-Zuid
5,Sem,der,Lake,2006,Jongen,192.72,2021,Qtr 1,May,BU08261300,Dorst
5,Sem,der,Lake,2006,Jongen,1961.79,2018,Qtr 2,September,BU08261307,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,736.2,2020,Qtr 2,May,BU08261300,Buitengebied Dorst-Zuid
5,Sem,der,Lake,2006,Jongen,1567.09,2019,Qtr 2,February,BU08260300,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,1362.16,2019,Qtr 2,April,BU08260102,Vogelbuurt
5,Sem,der,Lake,2006,Jongen,2025.49,2020,Qtr 2,April,BU08260601,Vogelbuurt
5,Sem,der,Lake,2006,Jongen,1588.43,2021,Qtr 1,May,BU08260102,Slotjes-West
5,Sem,der,Lake,2006,Jongen,392.37,2019,Qtr 3,September,BU08260601,Dorst
5,Sem,der,Lake,2006,Jongen,9.0,2020,Qtr 4,September,BU08261300,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,1077.69,2018,Qtr 2,January,BU08261300,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,1144.01,2021,Qtr 3,February,BU08260300,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,427.07,2020,Qtr 4,October,BU08261307,Vogelbuurt
5,Sem,der,Lake,2006,Jongen,999.14,2021,Qtr 2,October,BU08260601,Sterrenbuurt
5,Sem,der,Lake,2006,Jongen,1538.79,2019,Qtr 1,June,BU08260102,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,530.42,2020,Qtr 4,June,BU08260300,Slotjes-West
6,Maroua,der,Lake,2012,Jongen,1131.51,2019,Qtr 1,March,BU08260601,Buitengebied Dorst-Zuid
6,Maroua,der,Lake,2012,Jongen,990.06,2021,Qtr 3,October,BU08260601,Sterrenbuurt
6,Maroua,der,Lake,2012,Jongen,1950.23,2020,Qtr 1,February,BU08260102,Buitengebied Dorst-Zuid
6,Maroua,der,Lake,2012,Jongen,2182.96,2019,Qtr 3,October,BU08261307,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,793.62,2019,Qtr 3,August,BU08260102,Vogelbuurt
6,Maroua,der,Lake,2012,Jongen,1929.69,2018,Qtr 3,April,BU08260102,Dorst
6,Maroua,der,Lake,2012,Jongen,894.56,2018,Qtr 2,January,BU08260300,Buitengebied Dorst-Zuid
6,Maroua,der,Lake,2012,Jongen,2063.32,2021,Qtr 3,October,BU08261300,Vogelbuurt
