ClientKey,ClientVoornamen,ClientTussenvoegsel,ClientAchternaam,GeboorteJaar,ClientGeslacht
1,Bader,de,Steensma,2007,Meisje
2,Lorena,,Wilgenburg,2007,Meisje
3,Izaak,,Dekker,2008,Jongen
4,Izaak,,Smit,2007,Jongen
5,Sem,der,Lake,2006,Jongen
6,Maroua,der,Lake,2012,Jongen
7,Lorena,de,Backer,2007,Meisje
8,Lorena,,Lake,2011,Meisje
9,Maud,,Backer,2014,Meisje
10,Bader,van,Backer,2008,Meisje
11,Lorena,der,Smit,2011,Meisje
12,Izaak,,Smit,2011,Meisje
13,Bader,der,Dekker,2010,Jongen
14,Maud,,Dekker,2010,Meisje
15,Izaak,,Steensma,2015,Jongen
16,Lotte,,Backer,2011,Meisje
17,Maud,de,Wilgenburg,2005,Meisje
18,Lotte,de,Bosveld,2014,Meisje
19,Sem,,Meijer,2010,Jongen
20,Sanne,der,Hendriksen,2015,Jongen
21,Maroua,,Bosveld,2013,Meisje
22,Bader,,Bosman,2009,Jongen
23,Finn,,Hendriksen,2013,Jongen
24,Finn,de,Wilgenburg,2008,Meisje
25,Lorena,,Hendriksen,2008,Meisje
26,Jikke,,Lake,2008,Jongen
27,Lotte,de,Lake,2009,Jongen
28,Sanne,der,Smit,2012,Meisje
29,Lorena,de,Bosman,2005,Jongen
30,Maroua,van,Backer,2005,Meisje
31,Jikke,,Wilgenburg,2005,Jongen
32,Bader,,Backer,2013,Jongen
33,Maud,de,Bosveld,2005,Meisje
34,Sem,van,Smit,2006,Meisje
35,Maud,de,Smit,2008,Meisje
36,Finn,van,Backer,2011,Jongen
37,Lorena,der,Dekker,2012,Meisje
38,Lotte,de,Hendriksen,2005,Meisje
39,Maroua,,Hendriksen,2009,Meisje
40,Finn,der,Steensma,2012,Jongen
41,Finn,van,Wilgenburg,2013,Meisje
42,Finn,der,Steensma,2008,Jongen
43,Sem,,Lake,2009,Meisje
44,Sem,van,Wilgenburg,2015,Jongen
45,Finn,van,Meijer,2013,Meisje
46,Lotte,der,Smit,2013,Meisje
47,Maud,der,Steensma,2015,Meisje
48,Finn,,Backer,2012,Jongen
49,Bader,de,Dekker,2006,Jongen
50,Lotte,der,Bosman,2009,Jongen
